F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,Target
USA,-58.1,-68.25,Very low,21168.36,-13.86,-373.8,-2.22,-39.49,66.24,2610.27,-1309.89,23.83,750.7,-5.16,376.2,-26.74,236.52,269.82,4,594.3,5,-1029.42,0.11,3272.06,-1508.28,87.21,-2294.46,39.86,2.78,17534.36,37.56,-1937.63,-2986.56,-8.93
UK,-67.26,90.84,Low,13502.91,10.29,-377.7,-10.64,-107.3,62.64,-1181.94,-2163.33,23.56,1150.96,-16.04,417.56,-21,269.79,256.66,6,973.34,1,-1402.72,28.57,3556.14,-720.6,58.62,-2613.18,48.22,3.08,18714.38,14.37,-1787.67,-1441.88,-8.93
Rest,-65.42,41.55,Very high,19740.66,-3.3,-276.96,-11.34,-98.85,40.65,742.47,-1633.41,16.1,1283.58,-3.5,270.27,-24.48,170.22,214.54,1,1049.47,1,-2339.14,0.43,3346.5,-401.18,48.99,-2738.12,59.24,3.32,15253.07,4.14,-2199.3,-2075.68,249.61
USA,-65.72,318.27,High,39076.26,7.8,-158.55,-9.3,-77.74,79.74,454.17,-842.43,23.36,112.36,-9.84,647.01,-23.17,294.66,105.96,3,4035.04,3,-1573.98,0.02,6513.5,386.58,31.62,-1924.78,26.74,2.26,24554.74,21.15,-1852.94,-2524.34,-8.93
USA,-68.56,101.25,Low,33791.13,-1.26,-247.17,-1.47,-64.39,35.22,169.65,557.64,28.24,2078.7,-6.56,668.16,-33.4,117.84,86.06,3,3901.27,6,-1473.48,1.46,3804.34,-299.9,-86.16,-2708.32,45.64,0.96,17572.93,2.07,-1992.49,-1371.44,301.73
Rest,-68.98,306.54,Very low,26612.01,3.48,-261.6,-6.4,-116.8,54.66,624.93,-491.55,25.03,1467.16,-8.92,235.63,-25.25,199.26,-190.78,5,3598.4,3,463.3,0.01,5875.42,-653.32,206.34,-2099.54,48.48,1.7,15007.36,15.81,-1677.75,-1620.6,-8.93
Europe,-71.48,310.89,Low,24966.12,29.64,-348.51,-7.03,-93.17,52.17,-141.03,-1428.93,22.82,815.76,-10.4,-29.42,-26.97,217.44,42.04,3,4583.74,5,-1667.26,0,4962.8,-1257.86,-85.5,-2189.38,41.78,7.4,12984.64,7.77,-1743.78,-1724.24,160.22
UK,-69.62,232.68,Very low,17994.57,-1.65,-200.28,-12.44,-114.17,52.98,1654.17,-1141.8,27.13,978.78,-14.32,662.12,-32.73,316.23,270,3,1395.03,5,-332.3,3.19,4122.86,80.12,285,-2019.1,38.26,13.16,20126.94,13.92,-2137.38,-2354.76,-8.93
Rest,-70.86,181.29,Medium,25291.71,4.92,-178.05,-13.34,-122.87,63.51,949.38,-2544.75,26.68,579.78,0.5,557.15,-11.76,306,319.96,5,4070.14,5,-1160.18,1.38,4094.28,-386.26,18.54,-1878.88,48.52,5.2,16119.84,35.31,-3102.33,-2941.98,-8.93
Rest,-68.3,124.98,Medium,26141.7,1.14,-179.4,-9.15,-86.44,50.37,1689.21,-1686.15,22,1251.76,-10.74,-344.39,-33.6,142.38,304.58,3,-4101.43,5,-2970.52,0.22,4189.68,552.68,295.71,-3138.1,32.7,9.78,18675.88,5.76,-1910.8,-2293.34,137.18
Rest,-64.62,174,Medium,22478.49,-6.66,-196.8,-7.78,-59.75,71.88,256.35,-857.97,16.34,1375.94,-2.64,395.19,-25.3,114.99,257.14,2,2096.03,4,-1850.98,2.62,4299.26,-914.78,6.57,-2450.76,51.36,3.7,3682.15,2.28,-2179.28,-2350.02,249.07
UK,-67.04,199.14,Medium,22873.53,11.79,-184.05,-7.28,-90.08,55.71,1626.51,-1573.92,25.7,-635.2,-18.72,405.37,-28.19,251.19,211.18,3,6398.12,8,-1421.4,8.18,4325.22,-1137,162.66,-2485.12,43.38,8.7,22738.14,16.11,-2161.66,-1410.44,48.69
Europe,-64.52,244.38,High,20414.19,-10.14,-282.48,-6.96,-108.52,65.1,-572.79,-999.03,27.81,-155.14,-11.14,-334.49,-26.64,153.96,150.5,3,562.04,5,-1482.96,31.87,5374.4,-279.86,43.53,-2119.1,45.76,7.44,6759.97,16.8,-3337.6,-1766.72,194.77
UK,-63.28,158.49,Low,24061.44,10.62,-338.61,-10.41,-59.01,57.69,129.48,-3166.41,24.83,1773.68,-10.06,264.5,-27.05,222.93,319.6,6,6064.66,5,-675.2,0.03,4077.46,-796.94,112.53,-2308.86,44,0.92,18576.75,14.34,-1842.52,-1855.52,-8.93
Europe,-71.32,542.16,Very high,21889.92,9.09,-276.78,-7.77,-123.72,76.11,2059.89,-168.63,21.52,63.86,-12.96,385.81,-29.8,138.54,244.72,5,4123.82,4,-877.68,0.04,5503.84,-340.66,141.12,-2140.9,49.58,1.44,17371.78,27.12,-2173.2,-1465.66,-8.93
UK,-91.94,216.12,Medium,23106.21,4.98,-382.62,-6.23,-69.18,55.62,-1076.49,-1270.68,24.34,911.64,-7.1,-21.31,-32.23,205.26,300.5,3,3719.04,6,-1681.88,349.87,4497.82,-935.84,235.41,-2081.94,50.22,11.46,18109.96,17.91,-1851.75,-1986.22,258.14
USA,-79.62,23.55,High,32685.42,18.84,-160.65,-7.81,-72.06,48.3,-164.55,-685.53,24.75,1607.14,-4.42,50.65,-24.44,43.62,243.78,5,6152.02,2,-789,16.7,4276.66,-729.3,77.4,-1815.12,46.9,11.16,12122.44,6.33,-1869.42,-2190.34,110.94
USA,-68.06,270.66,Very high,14703.57,2.22,-209.28,-6.84,-9.44,51.09,-192.18,-759.99,26.25,1703.64,2.24,427.63,-29.11,188.16,231.62,4,4578.6,4,-288.86,3.64,4961.96,-536.18,1.53,-3742.36,45.56,13.48,22312.65,4.47,-2819.42,-2506.72,476.08
UK,-66.8,306.3,High,38905.11,13.02,-231.06,-4.47,-87.49,55.02,44.04,-1484.34,23.68,640.2,-9.06,409.17,-23.71,179.58,377.8,5,5813.78,4,-1144.26,0.31,3600.96,-1268.92,236.16,-1687.34,51.12,10.82,16171.72,3.78,-2304.96,-1710.54,205.16
UK,-63.2,168.15,Very low,31987.41,-7.08,-319.77,-6.36,-94.92,68.7,-520.8,-1528.53,22.71,1441.64,-9.92,818.38,-25.15,116.46,289.26,3,3964.04,4,-1428.02,0.29,4222.3,-1098.2,38.34,-2077.74,46.2,8.58,16847.91,0.45,-2033.81,-1803.8,206.3
Rest,-46.28,97.38,High,25011.45,-5.01,-369.87,-6.19,-123.55,44.22,-268.32,-209.94,18.46,1181.6,-6.36,465.71,-26.82,298.35,314.48,2,3699.06,1,-1717.02,0.13,3425.38,-453.5,133.44,-3018.84,52.78,2.56,17101.34,13.14,-2758.85,-1233.86,50.03
USA,-71.22,-155.64,Very low,17641.77,4.86,-68.07,-9.02,-119.78,71.28,2048.1,-1922.97,23.97,711.38,2.34,223.36,-27.53,88.92,267.46,3,-617.48,4,-1380.9,0.02,4540.04,-508.96,169.41,-2103.12,46.98,2.74,18397.22,5.13,-2030.7,-3045.14,343
USA,-71.86,255.15,Very low,11926.74,-1.38,-284.13,-6.83,-32.25,52.86,-377.01,-2955.33,20.63,1452.18,-13.42,308.21,-29.84,125.64,415.5,5,1128.92,4,-2915.56,20.91,4810,-267.3,168.24,-2836.42,40.2,11.44,26096.85,4.95,-1892.27,-2661.2,6.23
Rest,-70.82,10.53,Very low,20371.89,5.61,-278.34,-7.89,-61.71,52.95,524.52,-140.4,7.68,992.34,-2.26,559.71,-29.64,246.99,311.94,1,981.62,2,-1700.02,1.63,4544.98,-828.92,123.87,-1830.18,43.62,6.98,22097.84,28.56,-2146.12,-2179.2,-8.93
USA,-61.32,224.61,Very low,26625.63,6.75,-307.89,-9.21,-92.83,49.68,282.81,-1573.77,25.69,1320.48,-7.42,-139.46,-18.45,102.42,341.38,7,1376.4,6,-1372.88,0.05,3342.66,-718,163.32,-695.5,48.04,14.62,14695.46,16.26,-2052.56,-1808.2,-8.93
Europe,-67.14,198.45,Low,28621.8,24.93,-141.27,-11.66,-98.1,70.32,-18.93,-1283.97,23.01,1304.12,-3.14,355.09,-27.39,97.35,343.38,7,-5521.88,1,-1082.96,0.04,3352.68,202.42,14.55,-1380.94,39.32,14.06,8594.94,20.13,-942.3,-718.56,-8.93
Rest,-74.9,240.63,Low,26654.97,3.72,-245.85,-10.16,-91.98,47.13,1310.1,-975.54,21.33,1871.9,-6.48,6.05,-26.52,42.18,251.5,5,6054.31,2,-2318.14,57.37,3293.84,-135.24,235.38,-2543.28,46.42,4.46,16665.12,31.53,-1731.82,-1660.12,-8.93
Rest,-75.2,26.49,High,19493.67,10.65,-208.71,-3.39,-125.81,53.07,597.81,-1867.29,23.29,1507.16,-3.98,-0.36,-29.25,249.57,233.78,2,862.13,7,-1381.32,0.17,4685.2,-408.18,105.18,-2808.8,45.38,7.24,17448.62,23.1,-1685.85,-2379.08,159.01
Rest,-62.16,165.93,Medium,9474.9,9.42,-384.45,-8.03,-90.24,33.81,1590.45,-974.4,12.13,1805.3,-3.66,-179.94,-32.13,44.31,547.46,1,7543.92,3,-735.38,0.25,4036.1,-1026.04,101.88,-3388.46,45.36,10.6,18766.86,6.12,-2212.02,-1767.16,189.71
Rest,-63.18,8.43,Very low,44116.32,-10.38,-219.9,-12.57,-88.89,58.89,-635.34,-93.75,30.72,1008.76,-6.26,426.26,-25.8,369.81,220.72,5,6665.33,7,-1392.8,0.04,3634.06,-154.18,143.4,-2303.16,45.58,13.1,18450.48,6.93,-1428.83,-1671.24,32.13
UK,-68.46,685.92,Very low,10811.58,-2.7,-325.53,-10.22,-33.13,76.77,483.06,-3060.84,20.36,867.74,-6.42,634.51,-23.15,323.97,302.6,6,3592.01,7,-619.04,17.41,1774.72,279.06,130.44,-1513.76,49.52,7.8,17620.31,9.75,-2306.18,-1472.04,154.52
Europe,-59.52,364.26,High,24951.93,-18.06,-273.84,-16.07,-97.04,58.23,1467.93,-2098.98,14.59,2157.68,-7.8,168.15,-26.79,235.65,420.8,1,6200.08,2,-318.92,17.37,4396.44,-543.38,203.13,-3062.4,52.66,19.3,20055.86,6.15,-1641.46,-1257.58,397.74
UK,-75.64,278.28,Low,38192.58,11.13,-252.18,-5.83,-96.37,52.8,590.07,-3853.35,24.96,2660.22,-16.68,20.12,-25.36,163.08,208.9,6,-831.32,2,-1607.58,3.62,4681.22,-1052.32,101.94,-1218.4,48.36,0.98,10477.74,16.89,-2039.99,-1286.48,-8.93
UK,-69.62,224.85,Very high,14290.29,18.03,-270.24,-9.28,-71.67,65.64,829.38,-549.42,22.52,14.94,-10.48,633.35,-25.5,377.64,267.4,2,6418.97,5,-1466.32,0.06,3162.82,-559.22,173.01,-2209.06,48.36,10.34,14608.15,8.1,-2308.72,-1542.32,677.89
Rest,-80.38,324.45,Very high,11724.54,4.26,-201.21,-15.25,-95.01,48.21,-206.58,-1365.06,29.16,341.52,-3.46,209.29,-25.81,346.83,272.8,2,6656.01,5,-1376,0.28,4282.28,-989.56,210.21,-1814.1,44.28,6.72,18851.68,5.43,-1968.63,-2560.16,315.08
USA,-53.42,369.45,Very high,31076.61,-43.89,-319.23,-7.64,-47.53,54.81,929.22,-1019.82,17.15,1224.1,-3.92,144.83,-27.2,255.93,293.24,4,11.63,4,-565.3,0.09,4312.24,-288.56,214.17,-1587.92,44.62,4.72,20301.72,8.13,-1868.96,-2737.6,322.07
USA,-67.32,223.17,Very low,37118.22,-8.97,-164.07,-2.52,-89.27,71.01,-1069.8,-919.14,25.73,2441.4,-9.42,490.13,-35.38,50.28,285.24,2,7939.68,5,-1537.7,0.01,4144.3,-537.4,32.97,-2173.8,42.38,18.32,17337.25,11.64,-1663.37,-1245.9,28.11
UK,-68.3,142.59,Low,23855.28,9.57,-334.02,-9.31,-12.95,39.3,1910.19,-1483.98,21.08,-495.72,-13.32,572.85,-24.17,173.79,367.26,4,2961.53,3,-3210.86,0.64,3724.1,-756.04,160.17,-2722.4,38.56,9.3,18250.32,12.81,-2229.18,-1914.96,-8.93
Rest,-72.26,206.7,Very low,36512.04,9.6,-272.82,-2.78,-98.02,41.73,-1452.63,-1529.88,20.21,1702.36,-12.22,729.37,-28.1,244.23,286.86,7,-326.94,4,-1416.68,0,3686.1,262.52,121.86,-2306.42,4.66,18.86,17307.11,7.08,-2594.76,-1244.04,-8.93
USA,-76.1,272.64,High,10319.43,12.51,-340.56,-6.38,-113.14,37.26,1143.39,-766.2,28.29,1377.44,-1,208.08,-26.96,116.1,312.76,2,2922.15,4,-1121.88,3.6,3709.84,-109.88,11.16,-2702.78,41.9,1.76,18899.13,3.87,-1834.59,-1898.04,501.14
UK,-61.38,191.73,Low,15443.04,-6.03,-248.01,-7,-120.07,67.86,595.17,-719.04,23.49,863.04,-8.68,221.79,-24.6,215.16,276.76,5,8314.25,5,-1677.46,398.79,3931.28,-880.44,78.45,-2073.3,40.7,6.06,16561.88,14.61,-1527.52,-1834.48,-8.93
UK,-71.96,244.59,Low,36930.81,0.63,-155.94,-8.3,-98.24,78.87,-98.79,-3056.64,21.97,1259.74,-4.22,514.38,-29.9,194.97,325.28,0,6732.44,8,-1262.42,6.38,4043.48,-963.82,9.21,-2628.68,55.64,17.02,17052.42,12.51,-1817.03,-1500.54,705.12
Rest,-82.18,195.24,Low,29091.21,12.21,-244.5,-7.06,-42.71,59.52,-189.6,-2896.14,23.27,1211.94,-4.42,452.26,-30.48,94.65,122.04,4,3904.59,2,-2348.82,1.22,4904.66,-982.9,45.69,-2599.32,40.48,10.44,17814.37,9.57,-1460.43,-748.64,11.24
USA,-57.54,98.07,Very low,26704.92,-2.22,-251.7,-9.85,-70.39,50.13,-663.42,-1553.76,29.54,957.42,-14.26,394.32,-32.83,76.68,294.12,6,6502.93,4,-1262.02,1.09,3505.84,-534.66,99.33,-3039.68,72.9,11.42,14936.22,22.68,-1713.43,-2098.3,-8.93
USA,-80.16,268.74,Medium,25758.54,9.99,-426.06,-12.02,-65.02,37.23,-222.78,-940.14,23.65,299.82,-3.5,223.61,-22.06,334.68,351.78,3,3230.2,7,-2287.26,0.25,3800.68,-426.54,84.81,-2670.48,54.6,6.84,13214.73,5.76,-1705.87,-2175.64,414.11
Rest,-72.24,402.96,Very high,22377.66,-0.27,-332.88,-8.8,-88.94,56.1,2271.48,-669,24.09,835.6,-8.58,204.56,-24.14,340.59,101.32,4,-440.59,1,-1199.8,0.03,4191.2,-36.18,229.65,-1494.3,44.48,4.18,15942.14,15.69,-1851.26,-1579.36,17.34
Rest,-74.84,276.99,Very low,21997.95,-20.79,-192.24,-13.56,-113.69,11.67,653.97,-838.26,25.27,654.5,-5.62,311.93,-24.39,349.89,306.32,5,4332.58,3,-2344,0.71,3678.9,-126.08,55.11,-2147.74,50.78,5.42,15586.08,6.99,-2118.59,-1924.44,3.08
Europe,-80.8,219.81,Very high,4196.19,3.81,-217.02,-13.84,-90.33,64.89,653.43,-233.28,22.52,486.08,5.44,-80.23,-32.39,227.46,288.16,2,6136.64,3,-940.92,0.11,4101.02,435.94,62.25,-1664.48,39.96,2.4,17088.07,7.47,-1352.99,-2348.8,579.33
USA,-60.54,112.8,Low,1723.59,25.26,-181.53,-7.18,-73.2,61.14,1175.67,-1727.61,11.69,1525.16,-9.12,325.84,-31.35,208.14,272.32,5,-48.87,2,-2189.7,0.27,4313.02,315.12,177.6,-2208.64,47.82,8.54,11254.44,10.65,-2289.55,-1478.42,2.35
Rest,-90.58,173.73,Medium,7838.88,4.68,-253.74,-6.4,-126.93,55.35,166.44,-1919.55,24.49,911.4,-4.78,-450.48,-20.14,134.85,287.1,5,4291.14,3,-1645.12,1.21,4078.38,-877.64,30.87,-2238.92,49.94,5.22,25597.39,18.57,-1964.86,-2535.82,1.92
UK,-70.66,231.09,Very low,25927.08,54.9,-233.61,-8.47,-86.05,68.88,-600.45,-359.82,21.97,1025.78,-4.08,812.05,-36.11,293.97,268.28,4,2756.82,2,-969.26,0.01,4069.76,266.84,236.46,-1403.64,62.32,5.96,13695.8,1.8,-2329.41,-2430.28,143.9
Rest,-74.34,457.02,High,27660.63,-1.29,-317.31,-8.23,-68.28,65.31,2868.27,-2395.02,23.76,1206.7,-3.9,479.07,-17.86,258.6,-16.46,3,3409.95,7,-1901.34,0.6,5617.48,-640.18,70.86,-1169.58,22.76,1.7,17131.89,10.77,-911.2,-1894.54,224.69
Europe,-64.48,186.9,High,31719.48,-0.63,-252.66,-5.75,-98.4,31.08,827.13,-427.53,24.24,971.54,-3.74,543.2,-26.61,120.21,303.84,3,552.45,1,-862.74,4.6,3686.36,-2354.1,242.31,-2208.1,45.02,9,16130.15,8.52,-2131.1,-2834.42,273.97
USA,-48.12,239.46,High,24133.8,0.72,-194.1,-6.74,-71.83,56.73,-1158.57,-1392.18,22.31,651.68,-8.26,605.65,-29.11,156.06,346.54,3,8308.95,2,-1860.88,0.13,4738.4,-496.88,37.08,-2634,46.02,7.16,15852.13,19.62,-4018.6,-1916.28,-8.93
Europe,-81.5,200.13,High,18658.74,8.61,-123.24,-10.72,-51.34,68.73,1427.04,-796.89,25.5,1053.78,-5.78,-101.08,-26.33,285,227.06,3,1948.42,6,-875.88,0.67,3335.22,-713.48,180.03,-1345.32,31.86,5.3,9206.49,3.69,-1940.12,-515.62,556.67
Rest,-90.52,213.48,Medium,36600.36,3.54,-190.02,-9,-82.13,60.69,-739.47,-375.84,21.25,2346.28,-11.52,97.61,-26.01,231.66,370.22,3,3535.36,5,-2023.4,0.07,3967.08,-1060.28,178.32,-2320.34,54.12,3.98,19818.48,2.04,-2473.64,-2437.96,108.64
USA,-83.12,345.27,Medium,20527.98,26.1,-309.69,-9.25,-109.25,95.22,1471.32,-4007.82,20.44,509.64,-3.9,-220.27,-22.7,48.99,287.74,3,1016.2,4,-2087.28,0.48,4597.08,394.42,207.75,-2115.4,45.92,5.96,17752.98,3.54,-1819.73,-2382.1,347.54
Rest,-66.94,185.79,Low,16408.68,12.3,-225.18,-5.07,-69.69,65.16,1467.78,-2229,22.26,799.84,-7,432.97,-26.5,389.49,294.02,2,1240.52,4,-949.22,0.15,4569.96,-664.96,169.59,-3159.48,38.88,4.98,18020.97,15.57,-1763.44,-3792.8,58.14
UK,-70.88,98.49,Low,14026.98,-6.69,-426.54,-5.94,-72.82,58.41,-482.64,-578.73,28.17,1308.88,-5.64,488.74,-20.37,282.48,423.54,4,1295.49,2,591.24,5.21,5540.16,-964.12,120.87,-2657.24,43.52,12.96,15199.08,15.81,-889.03,-2962.7,-8.93
Europe,-68.34,161.76,Very high,25126.92,2.97,-236.01,-6.46,-4.67,59.55,1086.84,-1808.16,23.49,1394.96,-5.36,399.46,-29.75,423.21,339.32,6,616.16,5,-635.56,0.03,4748.34,-630.44,79.86,-1750.1,46.52,2.18,10910.85,4.89,-1626.17,-3448.86,466.26
Rest,-83.08,613.47,High,32093.7,15.24,-272.61,-3.73,-66.55,73.23,304.71,-1844.1,22.37,1478.42,-7.96,181.05,-27.35,271.86,257.66,4,4926.09,1,-2418.32,256.05,4703.62,-635.54,125.1,-1588.44,37.34,1.36,25053.37,3.09,-2292.95,-923.14,49.39
USA,-64.88,129.15,Very low,26329.05,-7.41,-113.04,-5.17,-104.92,75.81,1328.04,-2623.32,11.39,1132.78,-3.72,130.03,-23.49,119.4,255.56,6,1411.81,6,-898.46,2.04,2826.68,-1074.76,235.2,-2386.96,55.3,0.48,31269.01,19.44,-1418.39,-2363.36,-8.93
Europe,-73.94,103.11,Very low,19082.34,14.46,-203.4,-9.35,-51.99,58.29,558.78,-3295.14,13.33,1090.68,-0.02,301.32,-24.85,215.49,206.5,1,977.09,4,-1064.38,4925.23,5392.3,-1450.72,249.18,-2791.94,44.66,10.18,29625.74,3.45,-2224.94,-1946.36,539.81
UK,-75.4,-73.92,Medium,24988.68,15.24,-360.69,-4.03,-72.73,33.06,742.35,-1701.81,20.37,1017.44,-11.64,695.61,-23.48,97.08,200,2,3351.93,5,-707.22,0,3745.98,-1248.36,176.91,-2517.08,36.9,10.14,20751.17,2.52,-1568.82,-1812.86,607.5
Europe,-72.2,161.31,Medium,23513.97,-4.98,-354.45,-8.38,-100.96,54.84,759.9,-924.18,24.4,1253.36,-16.98,199.16,-27.8,322.65,305.16,4,2821.42,6,-504.52,0.88,5827.14,-1319.48,288.69,-1854.08,41.72,3.84,10302.69,7.29,-1835.58,-2263.28,92.85
Rest,-58.9,269.34,Medium,22539.66,-11.67,-206.88,-9.76,-93.9,40.92,-81.09,-330.81,20.2,1880.04,-2.46,651.09,-16.22,199.14,303.02,2,1020.69,5,871.36,1.2,4246.86,-341.96,81.81,-2666.36,27.14,14.78,16794.46,13.77,-1098.98,-2484.32,163.37
USA,-74.74,477.36,Very low,2470.98,1.35,-228.39,-9.12,-49.17,59.4,-569.43,-849.15,19.39,1058.74,-7.94,29.73,-24.08,155.7,287.56,2,3820.12,3,-1570.58,0.3,3663.84,-1173.56,246.66,-2241.5,49.42,2.14,12620.23,23.52,-1929.31,-2214.7,-8.93
UK,-99.34,-22.56,Very low,31041.06,-2.04,-441.57,-4.51,-76.27,56.55,199.05,-3460.38,23.49,1097.48,-0.78,15.22,-30.39,292.35,311.9,4,8106.52,5,-1049.32,8.7,4518.3,-1719.6,68.01,-1972.46,51.6,8.48,17403.02,10.44,-2445.95,-3054.4,157.19
Europe,-59.22,131.76,High,29827.68,9.93,-408.27,-7.66,-101.92,45.6,273.03,-3321.33,23,1141.62,-4.76,687.05,-25.31,54.12,302.46,4,6753.15,4,-853.12,0.03,4975.04,-829.78,-2.58,-2328.7,39.44,1.16,23626.61,4.89,-2195.44,-2721.1,401.79
UK,-94.28,154.32,Low,22734.54,17.76,-302.37,-10.19,-91.65,58.08,-42.12,-1756.77,23.97,488.72,-11.22,9.22,-25.6,106.83,248,2,5941.92,3,-1609.8,0.04,4772.08,-991.76,57.93,-2548.7,57.66,3.56,13894.53,17.76,-1509.86,-2443.56,-8.93
Europe,-75.6,284.04,Very high,23486.01,-1.02,-290.25,-3.62,-139.15,29.28,924.03,-1493.88,26.52,1446.2,-3.82,175.28,-28.08,61.32,243.72,3,6082.53,5,-688.5,0.06,4972.52,-1095.02,304.98,-1591.66,48.84,2.94,19621.44,16.62,-1854.25,-1238.44,420.78
UK,-76.26,445.23,Low,28699.14,7.56,-369.72,-10.86,-85.87,64.11,651.33,-2238.03,22.87,946.32,-1.28,244.53,-22.76,93.99,293.2,2,1028.94,5,-1015.18,0.13,4021.64,-1005.26,134.82,-3408.92,52.44,3.44,13847.52,15.9,-1244.98,-2008.2,486.46
Europe,-64,142.98,Very low,23069.82,-10.68,-363.57,-5.42,-42.81,43.32,1169.94,-2115.99,22.01,1421.46,-5.5,379.66,-29.18,273.36,343.26,7,-2534.1,6,-1949.82,0.01,4382.84,485.16,296.91,-2521.66,25.38,9.26,23937.63,18.03,-2666.08,-2068.42,-8.93
Europe,-65.2,194.82,Very high,12760.5,1.05,-412.95,-11.82,-60.14,52.11,2294.82,-114.12,29.12,1099.8,-5.3,-274.75,-30.23,268.83,320.4,1,2854.35,4,-2703.38,0.01,4134.02,-688.76,226.83,-2626.36,70.46,2.08,10579.04,4.35,-1828.75,-1959.12,573.15
USA,-75.44,455.76,High,23934.48,8.76,-333.03,-9.54,-54.39,62.61,-89.1,-2178.96,30.24,-68.76,-14.12,71.76,-29.79,232.95,292.64,5,243.58,5,-893.16,0,4726.56,-856.62,-12.78,-2118,45.46,4.82,27252.54,16.08,-1614.35,-1295.8,11.72
Europe,-76.98,319.86,Very high,24432.93,5.01,-398.79,-9.66,-51.23,40.32,-712.11,-465.54,30.66,1375.06,-3.18,-77.77,-24.14,223.59,273.84,4,714.07,4,-1321.88,1.38,2863.62,-55.48,132.51,-1818.78,54.4,3.96,14077.58,11.4,-3181.84,-2369.2,463.38
USA,-69.86,198.93,Very high,25294.53,5.34,-130.59,-8.79,-40.09,40.35,2195.76,-2354.91,22.94,2147.5,-5.22,436.6,-27.51,213.93,379.68,2,9269.99,6,226.54,0.04,6288.48,-147.9,80.91,-2922.76,44.8,2.64,13252.49,10.05,-2455.27,-2725.28,392.72
Europe,-73.92,216.54,Very low,5609.79,-1.62,-190.2,-1.15,-22.21,57.03,1406.31,-1257.21,24.17,1009.92,0.16,-42.73,-26.2,154.74,302.12,4,2718.42,3,-1210.62,13.78,3703.54,-89.38,305.88,-2828.66,50.78,2.62,17784.02,6.27,-2109.9,-3375.18,338.83
Rest,-75.02,209.67,Low,22116.45,-10.29,-198.39,-9.97,-71.66,57.6,-1111.35,-1574.1,23.81,768.22,-9.58,451.99,-27.5,121.26,322.48,4,11930.94,3,-1507.96,0.08,4233.18,-1044.26,25.2,-2799.38,52.18,4.46,12193.08,4.74,-1923.38,-2100.62,5.25
UK,-65.52,185.25,Very high,9067.47,4.74,-316.56,-10.14,-68.25,60.72,-381.09,-1743.33,34.39,864.22,-3.16,281.73,-25.6,169.41,313.18,4,4298.91,7,-1346.84,0.07,4421.7,-508.16,-93.78,-2431.7,43.26,7.36,19615.28,5.01,-1620.78,-2664.26,745.82
Europe,-80.48,144.6,Medium,15185.52,-2.46,-216.84,-10.43,-86.36,46.17,2087.76,-1306.92,24.02,1174.68,-3.22,1041.94,-30.91,209.97,290.76,4,3705.8,2,-1040.38,7.37,4325,-645.16,200.1,-2210.02,54.8,2,14056.85,6.81,-1912.12,-2012.48,276.38
UK,-77.64,248.94,Medium,29428.53,22.47,-268.8,-8.98,-95.69,74.16,1658.88,-3128.13,23.57,1171.78,6.42,-76.01,-25.71,91.65,255.16,4,1570.02,2,-1285.3,0.02,4225.46,-919.36,126.66,-2798.86,47.82,8.42,16612.94,6.18,-1731.6,-2352.2,654.72
USA,-64.26,226.29,High,24060.36,8.46,-200.4,-8.07,-82.04,61.35,-1337.79,-471.99,27.15,1270.32,8.82,457.72,-20.12,148.14,396.1,0,4021.66,3,-2841.6,0.07,2690.74,-435.22,264.78,-1764.58,45.88,16.5,13635.15,5.94,-2283,-1252.92,623.65
USA,-77.52,246.63,Low,32883.24,11.58,-267.69,-10.9,-80.35,59.52,1386.18,146.34,24.43,374.54,3.98,-58.72,-27.78,238.05,266.92,3,-1484.09,3,-2718.98,0.01,3831.76,-671.78,97.26,-2347.24,53.1,11.96,20756.08,15.72,-2278.95,-2687.8,196.73
Rest,-58.88,199.62,Very low,29856.42,5.52,-130.32,-6.89,-88.61,55.98,40.41,-170.25,21.51,959,-8.78,630.35,-28.65,154.47,252.88,4,6124.28,5,-2815.54,0.76,980.08,-1340.54,59.13,-2550.64,42.24,0.5,17449.79,11.76,-2465.93,-2483.76,-4.26
USA,-65.42,173.73,Medium,21707.4,-3.45,-339.84,-11.26,-111.82,69,157.29,-1100.97,13.46,1300.04,-12.92,1137.15,-23.96,248.85,280.92,2,390.23,3,-1529.34,0.09,4137.64,-556.76,220.2,-2065.42,69.72,7.18,19019.37,11.88,-3584.98,-1530.5,94.61
Europe,-71.14,476.13,Medium,26585.55,-1.68,-247.56,-5.42,-95.4,72.03,880.8,-135.27,23.09,910.76,-12.62,-204.87,-24.72,214.05,629.52,6,5989.8,3,-1610.7,0.1,3968.36,1278.34,57.09,-3099.82,30.06,4.08,20890.42,12.15,-1660.57,-2151.38,-8.93
Europe,-62.28,26.01,Very high,21415.14,2.73,-241.17,-8.05,-73.63,65.79,-884.49,-370.83,23.16,1361.88,-10.94,496.44,-25.02,197.34,154.82,6,143.32,5,-1492.7,0.48,4031.26,-1138.04,283.35,-2924.16,46.88,1.82,16995.21,3.93,-1892.46,-2828.16,385.12
